Week,18-24_tot,18-24_yes,25-39_tot,25-39_yes,40-54_tot,40-54_yes,55-64_tot,55-64_yes,65-above_tot,65-above_yes,hispanic_latiyes_tot,hispanic_latiyes_yes,white_tot,white_yes,black_tot,black_yes,asian_tot,asian_yes,other_tot,other_yes,male_tot,male_yes,female_tot,female_yes
1,478055,350643,4517257,2884830,3661896,2075344,2436721,1463338,2565279,648040,3636374,2344634,6124155,2878827,2020019,1107250,1534670,834460,343990,257024,6580420,3525402,7078787,3896793
2,330989,253162,4280356,2596177,3935460,2466578,2591480,1497162,2173112,651922,3264694,2244079,6071953,2965884,1908668,1373394,1826806,717876,239278,163769,6095436,3419570,7215962,4045433
3,785557,437022,4293300,2408771,3413885,2371869,2508148,1492731,2355802,923693,3370964,2436276,5729772,2943158,2274323,1256390,1563229,682960,418404,315303,5992638,3397655,7364054,4236431
4,980941,602622,4246439,2347648,4219136,2526672,2447859,1379889,2866351,1358557,3337729,2457612,6919781,3292808,2500759,1466030,1551672,784183,450784,214756,6846516,3785096,7914211,4430292
5,1024827,702949,4242091,2606822,3826226,2273659,2456723,1462159,2753826,1147278,3368073,2452750,6714630,3513300,2217941,1150539,1608600,830482,394448,245798,6899376,4115444,7404316,4077424
6,1172084,625615,4782869,2651340,3632880,2280505,2500205,1599701,2537841,869676,3420799,2371405,7040260,3189663,2226352,1353549,1349683,794854,588786,317366,7599021,4401940,7026858,3624898
7,1627040,926494,3571242,1949471,3801952,2467011,3274023,1829622,2274073,723946,3581638,2428064,6473338,3303857,2429590,1002890,1747109,1050718,316655,111015,7021393,3596189,7526937,4300355
8,1323129,645831,4639811,2637607,3483080,1983884,2683740,1651508,2444470,928930,3536601,2263273,6819757,3188703,2265940,1315482,1474625,848951,477308,231351,7012268,3796522,7561962,4051238
9,1088703,745078,4237442,2764219,3420577,2053212,2658645,1691766,2432655,736175,3219563,2060986,6329031,3312732,2428408,1566937,1459082,751718,401938,298075,6574973,3832338,7263049,4158111
10,1245532,918292,3852678,2273097,4058411,2691834,2175133,1386908,2712896,918874,3420021,2273322,6309002,3362636,2332111,1339759,1656015,1028971,327500,184317,6915090,4063669,7129560,4125336
11,1148910,715523,3826547,2360842,3606415,2342193,2708988,1473162,2798201,1081475,3277267,2073569,6687203,3469820,2072860,1167812,1559220,913100,492511,348893,7040179,3869678,7048883,4103516
12,1091583,809192,4221719,3051110,3703548,2364485,3217159,1660487,2674560,900823,3578823,2495830,7099745,3599745,2219960,1373208,1268240,850936,741802,466378,7287743,4249667,7620826,4536431
13,1366393,891447,3965110,2245602,3599592,2015037,2507468,1434678,2913260,1120932,3363195,2132859,6913853,3139041,2263394,1395426,1428976,824428,382405,215941,7051309,3905820,7300514,3801875
14,1094427,756807,4270169,2426068,3688858,2056372,2793622,1686511,2385864,883430,3397584,2350843,6583645,3213172,2415004,1298462,1386296,695834,450410,250877,6822621,3636688,7410319,4172499
15,1198445,781125,3870621,2355820,3776609,2028314,2727433,1638034,2469951,787240,3128008,1863278,6805035,3234548,2171173,1388264,1553278,944993,385566,159450,6869290,3830944,7173769,3759590
16,864348,513317,4127854,2239681,3469887,1960256,2478930,1300339,2834008,1074519,3097693,1854911,6349408,2954289,2321259,1172033,1535515,812114,471152,294765,6585014,3460180,7190014,3627932
17,1343343,745879,3982917,2221999,3640909,2325590,2562049,1372849,2794459,1118495,3481075,2377887,6393708,2873460,2445266,1643996,1439189,684758,564441,204712,6974322,3891251,7349357,3893561
18,987555,558383,3506299,2278248,4539367,2399080,2525813,1265384,2292169,768831,3293270,1979467,6284941,3020578,2142718,1180588,1411596,668619,718677,420674,6696050,3285544,7155151,3984383
19,817710,487681,3730207,2143419,3804112,2195681,2410644,1213959,2221578,593724,3045640,1501269,6053836,2625880,1943988,1231141,1562416,1017907,378372,258267,6111560,3060545,6872691,3573919
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
